,Ocupação,Celular,Microcomputador,Internet no Comp,Internet no Celular,3G ou 4G,Banda Larga
191,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
229,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
280,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Não
326,Próprio-Pago,Sim,Nao,,,,
396,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
421,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
437,Próprio-Pago,Sim,Nao,,,,
711,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
724,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
726,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
753,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
800,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
901,Alugado,Sim,Nao,,Sim,Não,Sim
1077,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
1084,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Não
1226,Alugado,Sim,Nao,,,,
1240,Próprio-Pago,Sim,Nao,,,,
1282,Cedido-Empregador,Sim,Nao,,Sim,Sim,Não
1321,Alugado,Sim,Sim,Sim,Não,Não,Sim
1322,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
1371,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
1372,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
1373,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
1384,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Não
1386,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Não
1412,Cedido-Empregador,Sim,Sim,Sim,Sim,Sim,Sim
1435,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
1438,Alugado,Sim,Sim,Sim,Sim,Não,Sim
1445,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
1631,Próprio-Pago,Sim,Nao,,Sim,Não,Sim
1664,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
1692,Alugado,Sim,Sim,Sim,Sim,Não,Sim
1696,Alugado,Sim,Sim,Sim,Sim,Não,Sim
1697,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
1704,Alugado,Sim,Sim,Sim,Sim,Não,Sim
